parametr;min;max;srednia;mediana;IQR;wariancja;odchylenie standardowe
wiek;17;48;30.64;30;8;34.1794594594595;5.84632016395437
hsCRP;0.335089;42.6499;5.64473342666667;4.18349;4.95114;37.5524363507157;6.12800427143419
ERY;3.09;5.05;4.12853333333333;4.14;0.600000000000001;0.190782954954955;0.436787081946061
PLT;91;456;220.093333333333;202;71;4170.5181981982;64.5795493805756
HGB;9.5049;22.2318;12.1603829;12.2436;1.7788125;3.0854052111723;1.75653215489279
HCT;0.0423;0.412;0.349030666666667;0.354;0.053;0.00245388945225225;0.0495367485030281
MCHC;32.0573;38.8674;35.0278324;35.0471;1.3288;1.42490097278606;1.19369215997512
MON;0.14;1.61;0.767866666666667;0.73;0.28;0.0761548468468469;0.275961676409691
LEU;4.83;17.46;11.8066666666667;11.4;3.84;7.08538738738739;2.66183909870364
